IMG_ID,ENG,HIN,RUS
IMG_0912.jpg,The Father and Sourabh engage in a deep conversation. ,पिता और सौरभ गहन बातचीत में लगे हुए हैं।,Отец и Сураб ведут глубокий разговор.
IMG_0914.jpg,Sourabh appears cautious but interested and offers seat to the gentleman.,सौरभ सतर्क लेकिन दिलचस्पी दिखाते हुए सज्जन को सीट प्रदान करते हैं।,"Сураб выглядит осторожным, но заинтересованным и предлагает джентльмену место."
IMG_0922.jpg,The father and Sourabh share a moment of understanding.,पिता और सौरभ ने आपसी समझ का एक क्षण साझा किया।,Отец и Сураб разделяют момент взаимопонимания.
IMG_0927.jpg,A bond starting to form between them.,उनके बीच एक बंधन बनना शुरू हो गया है।,Между ними начинает формироваться связь.
IMG_0939.jpg,Father completes the formalities with the social worker of the adoption center.,पिता ने दत्तक ग्रहण केंद्र के सामाजिक कार्यकर्ता के साथ औपचारिकताएं पूरी कीं।,Отец оформляет формальности с социальным работником центра усыновления.
IMG_0933.jpg,Sourabhb starts packing his belongings with a mixture of hope and caution.,"
आशा और सावधानी के मिश्रण के साथ सौरभ ने अपना सामान पैक करना शुरू कर दिया।",Сураб начинает собирать свои вещи со смесью надежды и осторожности.
IMG_0437.jpg,The father is pleased with his son's conduct and academic performance.,"
पिता अपने बेटे के आचरण और शैक्षणिक प्रदर्शन दोनों से प्रसन्न हैं।","Отец доволен как поведением сына, так и успеваемостью."
IMG_0440.jpg,"The father offers words of encouragement, reinforcing his pride in his son's commitment towards academics. ",पिता ने शिक्षा के प्रति अपने बेटे की प्रतिबद्धता पर गर्व करते हुए प्रोत्साहन के शब्द कहे।,"
Отец произносит слова поддержки, усиливая свою гордость за преданность сына учебе."
IMG_1021.jpg,The father and Sourabh sit down at a small table in a cozy corner of the center.,पिता और सौरभ केंद्र के एक आरामदायक कोने में एक छोटी सी मेज पर बैठते हैं।,Отец и Сураб садятся за небольшой столик в уютном уголке центра.
IMG_1022.jpg,"The father and son Sourabh engage in a lively conversation, smiles on their faces.","पिता और पुत्र सौरभ जीवंत बातचीत में व्यस्त हैं, उनके चेहरे पर मुस्कान है।","Отец и сын Сураб оживленно беседуют, на их лицах улыбки."
IMG_1006.jpg,"In the background, the lazy son standing alone looking disinterested and envious.","पृष्ठभूमि में, अकेला खड़ा आलसी बेटा उदासीन और ईर्ष्यालु दिख रहा है।",На заднем плане ленивый сын стоит один и выглядит бескорыстным и завистливым.
IMG_1008.jpg,"They continue to bond, sharing a deeper connection.","वे आपस में जुड़ना जारी रखते हैं, एक गहरा संबंध साझा करते हैं।","Они продолжают сближаться, разделяя более глубокую связь."
IMG_1001.jpg,"The lazy son watches, frustration building as he feels left out.","आलसी बेटा देखता है, हताशा पैदा करता है क्योंकि वह महसूस करता है कि उसे छोड़ दिया गया है।","Ленивый сын наблюдает, и его нарастает разочарование, поскольку он чувствует себя обделенным."
IMG_0683.jpg,"The lazy son, unable to contain his jealousy any longer, leaves the place.","आलसी बेटा, अपनी ईर्ष्या को और अधिक नियंत्रित करने में असमर्थ होकर, वहां से चला जाता है।","Ленивый сын, не в силах больше сдерживать ревность, уходит."
IMG_0805.jpg,The lazy son smiles. He's happy that he was able to fix the robot's vision.,आलसी बेटा मुस्कुराता है. वह खुश है कि वह रोबोट की दृष्टि को ठीक करने में सक्षम था।,"Ленивый сын улыбается. Он счастлив, что смог исправить видение робота."
IMG_0808.jpg,Lazy Son instructs the Robot to Kill the adopted son.,आलसी बेटा रोबोट को दत्तक पुत्र को मारने का निर्देश देता है।,Ленивый сын инструктирует робота убить приемного сына.
IMG_0808.jpg,Robot - Scans the image of the adopted son and recognizes whom to kill,रोबोट - दत्तक पुत्र की छवि को स्कैन करता है और किसको मारता है,"Робот - сканирует образ приемного сына и признает, кого убить"
IMG_0809.jpg,"LAZY SON:
Watch carefully. This is how you fight.","आलसी बेटा (रोबोट से):
ध्यान से देखें। ऐसे करते हैं लड़ाई.''","Ленивый сын (роботу):
Внимательно следить. Вот как ты сражаешься."
IMG_0812.jpg,The lazy son is showing the robot a video of a fight scene.,आलसी बेटा रोबोट को एक लड़ाई के दृश्य का वीडियो दिखा रहा है।,Ленивый сын показывает роботу видео сцены боя.
IMG_0808.jpg,The robot watches the video intently,रोबोट वीडियो को ध्यान से देखता है,Робот пристально смотрит видео
IMG_0820.jpg,Lazy son takes the robot to garden.,आलसी बेटा रोबोट को बगीचे में ले जाता है।,Ленивый сын ведет робота в сад.
IMG_0815.jpg,The lazy son and the robot are standing in a park. The lazy son is showing the robot some fighting techniques.,आलसी बेटा और रोबोट एक पार्क में खड़े हैं। आलसी बेटा रोबोट को लड़ने की कुछ तकनीकें दिखा रहा है।,Ленивый сын и робот стоят в парке. Ленивый сын показывает роботу некоторые методы борьбы.
IMG_0817.jpg,"LAZY SON:
Punch the tree!","आलसी बेटा
पेड़ पर मुक्का मारो!","Ленивый сын
Ударь по дереву!"
IMG_0826.jpg,Robot bashes his head!!,रोबोट ने अपना सिर पीटा!!,Робот избивает голову !!
IMG_0827.jpg,"LAZY SON:
That's wrong, do it with hands.","आलसी बेटा
यह गलत है, इसे हाथों से करो।","Ленивый сын
Это неправильно, делай это руками."
IMG_0831.jpg,"LAZY SON:
Do it with hand!!","आलसी बेटा
हाथ से करो!!","Ленивый сын
Сделай это с рукой !!"
IMG_0834.jpg,Robot punches the tree with hand.,रोबोट हाथ से पेड़ पर मुक्का मारता है.,Робот бьет по дереву рукой.
IMG_0833.jpg,"LAZY SON: Again!
The robot punches the tree again, harder this time.","आलसी बेटा - फिरसे
रोबोट फिर से पेड़ पर मुक्का मारता है, इस बार और ज़ोर से।","Ленивый сын - снова!
Робот снова бьет по дереву, на этот раз тяжелее."
IMG_0841.jpg,"LAZY SON:
Good! Now, try a kick.
The robot kicks the tree.","आलसी बेटा
अच्छा! अब एक किक का प्रयास करो.
रोबोट पेड़ को लात मारता है.","Ленивый сын
Хороший! Теперь попробуйте удар.
Робот пинает дерево."
IMG_0829.jpg,"LAZY SON:
Excellent!","आलसी बेटा
अतिउत्तम!","Ленивый сын
Отличный!"
IMG_0856.jpg,Adopted Son is immersed in reading.,दत्तक पुत्र पढ़ने में लीन रहता है।,Приёмный сын погружен в чтение.
IMG_0866.jpg,"The father, beaming with happiness.","पिता, ख़ुशी से झूम उठे।","Отец, сияющий от счастья"
IMG_0873.jpg,"You know, we should go out and explore today, my son!","तुम्हें पता है, हमें आज बाहर जाकर खोजबीन करनी चाहिए, मेरे बेटे!","Знаешь, нам сегодня стоит пойти и исследовать окрестности, сын мой!"
IMG_0885.jpg,"Sourabh walks on the roads, finding place to sit and enjoy!","सड़कों पर चलते हैं, बैठने और आनंद लेने के लिए जगह ढूंढते हैं!","Сураб гуляет по дорогам, находя место, где можно посидеть и насладиться!"
IMG_0887.jpg,"Adopted son sit outside the parlor, chatting and watching the world go by.","गोद लिया हुआ बेटा पार्लर के बाहर बैठा है, बातें कर रहा है और दुनिया भर को देख रहा है।","Приемный сын сидит возле гостиной, болтает и наблюдает за происходящим в мире."
IMG_0945.jpg,"LAZY SON:
Go and kill him","आलसी बेटा
जाओ और उसे मार डालो","Ленивый сын
Иди и убей его"
IMG_0891.jpg,Robot moving towards adopted son,दत्तक पुत्र की ओर बढ़ता रोबोट,Робот движется к усыновленному сыну
IMG_0888.jpg,The adopted son sitting in the garden and enjoying his own time.,दत्तक पुत्र बगीचे में बैठा है और अपने समय का आनंद ले रहा है।,Приемный сын сидит в саду и наслаждается своим временем.
IMG_0950.jpg,Robot comes from behind with knife and tries to kill.,रोबोट पीछे से चाकू लेकर आता है और मारने की कोशिश करता है.,Робот приходит сзади с ножом и пытается убить.
IMG_0895.jpg,"Adopted Son - Shocked
ROBOT:
(In a robotic voice)
I am instructed to terminate you.","दत्तक पुत्र - स्तब्ध
रोबोट
(रोबोटिक आवाज में)
मुझे तुम्हें बर्खास्त करने का निर्देश दिया गया है.","Приемный сын - шокирован
Робот
(Роботизированным голосом)
Мне приказано прекратить вас."
IMG_0958.jpg,"Suddenly, the lazy son's father appears and finds his own son sitting with laptop.","अचानक, आलसी बेटे का पिता प्रकट होता है और देखता है कि उसका लड़का लैपटॉप लेके बैठा है","Внезапно появляется отец ленивого сына и находит своего собственного сына, сидящего с ноутбуком."
IMG_0971.jpg,"FATHER:
(To the lazy son)
I understand now. You're the one who's been behind all of this. You're the one who's been trying to kill your brother.","पिता
(आलसी बेटे के लिए)
अब मैं समझा। तुम ही जो इन सब के पीछे। तुम ही हो जो तुम्हारे भाई को मारने की कोशिश कर रहे हो।","ОТЕЦ
(Ленивому сыну)
Теперь я понимаю. Ты тот, кто был за всем этим. Ты тот, кто пытался убить твоего брата."
IMG_0972.jpg,The lazy son ignores and focuses on killing the adopted son.,आलसी पुत्र ध्यान नहीं देता और दत्तक पुत्र को मारने पर ध्यान केंद्रित करता है।,Ленивый сын игнорирует и фокусируется на убийстве приемного сына.
IMG_0961.jpg,"FATHER:
(To the adopted son)
I'm so sorry. I made a big mistake. I thought that my biological son is not important as you were lazy. But now I realise it was my fault. Please don't kill!!!
","पिता
(आलसी बेटे से)
मैं माफ़ी चाहता हूँ. मुझसे बहुत बड़ी गलती हो गयी. मैंने सोचा कि मेरा जैविक पुत्र महत्वपूर्ण नहीं है क्योंकि तुम आलसी थे। लेकिन अब मुझे एहसास हुआ कि यह मेरी गलती थी। कृपया उसे मत मारो!!!","ОТЕЦ
(Для приемного сына)
Мне очень жаль. Я сделал большую ошибку. Я думал, что мой биологический сын не важен, так как ты был ленив. Но теперь я понимаю, что это была моя вина. Пожалуйста, не убивай !!!
"
IMG_0968.jpg,"Lazy Son:
You have thrown me out. Now why are you even requesting? I don't know who are you?","आलसी बेटा
आपने मुझे बाहर निकाल दिया है. अब आप अनुरोध क्यों कर रहे हैं? मैं नहीं जानता आप कौन हैं?","Ленивый сын
Вы меня выбрасывали. Теперь почему вы вообще просите? Я не знаю, кто ты?"
IMG_0970.jpg,"FATHER:
I know I haven't been the best father. But I'm going to change that. I'm going to be a better father to both of you.","पिता
मैं जानता हूं कि मैं सबसे अच्छा पिता नहीं बन पाया हूं। लेकिन मैं इसे बदलने जा रहा हूं. मैं तुम दोनों के लिए बेहतर पिता बनुगा।","ОТЕЦ
Я знаю, что не был лучшим отцом. Но я собираюсь это изменить. Я буду лучшим отцом для вас обоих."
IMG_0978.jpg,"LAZY SON:
Changes his mind and stops the robot to kill.","आलसी बेटा
अपना मन बदल लेता है और रोबोट को मारने से रोकता है","Ленивый сын
Передумает и останавливает робота, чтобы убить."
IMG_0982.jpg,Robot stops to terminate adopted son and moves away.,रोबोट दत्तक पुत्र को समाप्त करने के लिए रुकता है और चला जाता है।,"Робот останавливается, чтобы прекратить усыновленного сына и уходит."
IMG_0983.jpg,"Robot stands aside, where the lazy son instructed him to go.","रोबोट एक तरफ खड़ा है, जहां आलसी बेटे ने उसे जाने का निर्देश दिया था।","Робот отодвигается, где ленивый сын поручил ему уйти."
IMG_0984.jpg,The adopted son walks over to the lazy son and puts his arm around him.,दत्तक पुत्र आलसी बेटे के पास जाता है और उसके चारों ओर अपना हाथ रखता है।,Принятый сын подходит к ленивому сыну и обнимает его.
IMG_0995.jpg,The father turns to the adopted son. He sees both the brothers are happy together.,पिता दत्तक पुत्र की ओर मुड़ता है। वह देखता है कि दोनों भाई एक साथ खुश हैं।,"Отец обращается к приемному сыну. Он видит, что оба брата счастливы вместе."
IMG_0986.jpg,"All of them stand there for a moment, just holding each other close.","वे सभी एक क्षण के लिए वहीं खड़े रहे, बस एक-दूसरे को पकड़कर रखा।","Все они стоят на мгновение, просто держась друг с другом близко."
IMG_0999.jpg,"Family reunites, and in the end that's all that matters.","परिवार फिर से एकजुट होता है, और अंत में यही मायने रखता है।","Семья воссоединяется, и, в конце концов, это все, что имеет значение."
IMG_1013.jpg,"Lazy Son takes the robot to his room, and instructs this was just a revenge, now I am creating you a better version of yourself.","आलसी बेटा रोबोट को अपने कमरे में ले जाता है, और निर्देश देता है कि यह सिर्फ एक बदला था, अब मैं तुम्हें अपना एक बेहतर संस्करण बना रहा हूं।","Ленивый сын берет робота в свою комнату и настаивает на том, что это была просто месть, теперь я создаю вам лучшую версию себя."
IMG_1015.jpg,He transfers the correct data.,वह सही डेटा ट्रांसफर करता है.,Он переносит правильные данные.
IMG_1018.jpg,"He is happy with the Robo for converting the Robot to innocent machine, who will now use his intellect and abilities amongst humans.","रोबोट को मासूम मशीन में बदलने के लिए वह रोबो से खुश है, जो अब अपनी बुद्धि और क्षमताओं का इस्तेमाल इंसानों के बीच करेगा।","Он доволен роботом за то, что он преобразовал робота в невинную машину, которая теперь будет использовать свой интеллект и способности среди людей."
